bug_name,srcJavaDir,srcTestDir,binJavaDir,binTestDir,trigger_test_class_function_line,projectCP,originalCommit,cleaned
Closure_8,src,test,build/classes,build/test,com.google.javascript.jscomp.CollapseVariableDeclarationsTest:testIssue820:48,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R4pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar:lib/rhino/testsrc/org/mozilla/javascript/tests/commonjs/module/modules.jar,0ace02f4d582988b228fcc313ba03c6861e77693,True
Closure_10,src,test,build/classes,build/test,com.google.javascript.jscomp.PeepholeFoldConstantsTest:testIssue821:581,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R4pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar:lib/rhino/testsrc/org/mozilla/javascript/tests/commonjs/module/modules.jar,915f3c76062ddc6c9d1cc2c6e8e40aedac9089ed,True
Closure_12,src,test,build/classes,build/test,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest:testIssue794b:513,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R4pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar:lib/rhino/testsrc/org/mozilla/javascript/tests/commonjs/module/modules.jar,a486b8345202c35efe3a2b63f16259e1933c359c,True
Closure_17,src,test,build/classes,build/test,com.google.javascript.jscomp.TypeCheckTest:testIssue688:5906,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R4pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar:lib/rhino/testsrc/org/mozilla/javascript/tests/commonjs/module/modules.jar,1d806d5becb1be384050f49ffadbb57b7523db35,True
Closure_21,src,test,build/classes,build/test,com.google.javascript.jscomp.CheckSideEffectsTest:testUselessCode:71,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R4pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar:lib/rhino/testsrc/org/mozilla/javascript/tests/commonjs/module/modules.jar,32a12bad27bf2989a4e6eaf39c84779a39991f2b,True
Closure_30,src,test,build/classes,build/test,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest:testInlineAcrossSideEffect1:329#com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest:testCanInlineAcrossNoSideEffect:443#com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest:testIssue698:443,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R4pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar:lib/rhino/testsrc/org/mozilla/javascript/tests/commonjs/module/modules.jar,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db,False
Closure_31,src,test,build/classes,build/test,com.google.javascript.jscomp.CommandLineRunnerTest:testDependencySortingWhitespaceMode:627,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R4pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar:lib/rhino/testsrc/org/mozilla/javascript/tests/commonjs/module/modules.jar,187a77990aeb8028d1f7315add4c8fe56b3d79d9,True
Closure_33,src,test,build/classes,build/test,com.google.javascript.jscomp.TypeCheckTest:testIssue700:5777,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R4pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar:lib/rhino/testsrc/org/mozilla/javascript/tests/commonjs/module/modules.jar,7e3e1a667c866458cca12b7ade9965b4e6ddf3c0,True
Closure_48,src,test,build/classes,build/test,com.google.javascript.jscomp.TypeCheckTest:testIssue586:5443,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R3pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar,e1feab189248bba77e40434f2bf5185cad6a20e7,True
Closure_52,src,test,build/classes,build/test,com.google.javascript.jscomp.CodePrinterTest:testNumericKeys:1259,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R3pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar,4434b45f18d2e74ec809a9bbeb67571b604ce6d0,False
Closure_59,src,test,build/classes,build/test,com.google.javascript.jscomp.CommandLineRunnerTest:testCheckGlobalThisOff:160,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R3pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar,0c56a467ca0fa7169172cfc4ee2d45834454ef0b,True
Closure_60,src,test,build/classes,build/test,com.google.javascript.jscomp.CommandLineRunnerTest:testIssue504:365#com.google.javascript.jscomp.NodeUtilTest:testGetBooleanValue:123,build/classes:build/test:/data/defects4j/framework/projects/lib/junit-4.11.jar:/data/defects4j/framework/projects/lib/cobertura-2.0.3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jdom-1.0.jar:/data/defects4j/framework/projects/lib/cobertura-lib/log4j-1.2.9.jar:/data/defects4j/framework/projects/lib/cobertura-lib/oro-2.0.8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jetty-util-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/jaxen-1.1-beta-8.jar:/data/defects4j/framework/projects/lib/cobertura-lib/dom4j-1.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-analysis-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/tagsoup-0.9.7.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xom-1.0b3.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-tree-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-commons-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/icu4j-2.6.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:/data/defects4j/framework/projects/lib/cobertura-lib/asm-util-4.1.jar:/data/defects4j/framework/projects/lib/cobertura-lib/xmlParserAPIs-2.6.2.jar:build/lib/rhino.jar:build/lib/rhino1_7R3pre/js.jar:lib/junit.jar:lib/ant-launcher.jar:lib/args4j.jar:lib/caja-r4314.jar:lib/json.jar:lib/guava.jar:lib/jsr305.jar:lib/jarjar.jar:lib/protobuf-java.jar:lib/ant.jar,fe58a5d1750bab2c5d1d0ef16102c1000e761bd8,True
